Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Something Happened in Bali,"What Happened in Bali, Memories of Bali, Hearts in Bali",Kim Ki-ho,Choi Moon-suk,"Ha Ji-won, Zo In-sung, So Ji-sub, Park Ye-jin","Romance, Melodrama",SBS TV,20,"3 January –
7 March 2004",2004,-,".mw-parser-output .ambox{border:1px solid #a2a9b1;border-left:10px solid #36c;background-color:#fbfbfb;box-sizing:border-box}.mw-parser-output .ambox+link+.ambox,.mw-parser-output .ambox+link+style+.ambox,.mw-parser-output .ambox+link+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+style+.ambox,.mw-parser-output .ambox+.mw-empty-elt+link+link+.ambox{margin-top:-1px}html body.mediawiki .mw-parser-output .ambox.mbox-small-left{margin:4px 1em 4px 0;overflow:hidden;width:238px;border-collapse:collapse;font-size:88%;line-height:1.25em}.mw-parser-output .ambox-speedy{border-left:10px solid #b32424;background-color:#fee7e6}.mw-parser-output .ambox-delete{border-left:10px solid #b32424}.mw-parser-output .ambox-content{border-left:10px solid #f28500}.mw-parser-output .ambox-style{border-left:10px solid #fc3}.mw-parser-output .ambox-move{border-left:10px solid #9932cc}.mw-parser-output .ambox-protection{border-left:10px solid #a2a9b1}.mw-parser-output .ambox .mbox-text{border:none;padding:0.25em 0.5em;width:100%}.mw-parser-output .ambox .mbox-image{border:none;padding:2px 0 2px 0.5em;text-align:center}.mw-parser-output .ambox .mbox-imageright{border:none;padding:2px 0.5em 2px 0;text-align:center}.mw-parser-output .ambox .mbox-empty-cell{border:none;padding:0;width:1px}.mw-parser-output .ambox .mbox-image-div{width:52px}@media(min-width:720px){.mw-parser-output .ambox{margin:0 10%}}@media print{body.ns-0 .mw-parser-output .ambox{display:none!important}}"
Something in the Rain,"Pretty Sister Who Buys Me Food, Pretty Sister Who Treats Me to Meals",Kim Eun,Ahn Pan-seok,"Son Ye-jin, Jung Hae-in, Jang So-yeon",Romance,JTBC,16,"March 30 –
May 19, 2018",2018,-,"The series explores the relationship of two people as they go from being ""just acquaintances"" to ""a genuine couple."" Jin-ah (Son Ye-jin) is a district supervisor in her 30s at the coffeehouse franchise Coffee Bay (an actual Korean chain) and Jun-hui (Jung Hae-in) is an animator in his late 20s at video game developer Smilegate Entertainment. When he returns from working abroad, he reconnects with Jin-ah — who also happens to be best friends with Jun-hui's sister since childhood. The episodes give an intimate look into how they fall in love, struggle with their age differences (considered to be taboo in some circles), and find the courage to go public with their relationship to everyone around them."
Song of the Bandits,-,Han Jung-hoon,"Hwang Jun-hyeok, Park Hyun-suk","Kim Nam-gil, Seohyun, Yoo Jae-myung, Lee Hyun-wook, Lee Ho-jung","Period drama, Action",Netflix,9,"September 22, 2023",2023,-,"Set in 1920s, during the turbulent period of Japanese occupation, following the disbanding of the Korean military and police and other repressions (which followed the Japan–Korea Treaty of 1905), many people of Joseon fled across the Tumen River to Gando, a part of China (Qing), some to make a living and others to form righteous armies, and fight for independence for Korea. This is a tale where those who head to Gando, a land of lawlessness, unite as one to protect the homeland of the Koreans. The story is a prelude to the Gando massacre."
Songgot: The Piercer,-,"Lee Nam-gyu, Kim Soo-jin",Kim Seok-yoon,"Ji Hyun-woo, Ahn Nae-sang",Drama,JTBC,12,"October 24 –
November 29, 2015",2015,-,"At the retail market where he works, Lee Soo-in (Ji Hyun-woo) is ordered by his boss to fire temporary employees. Finding the situation unfair, Lee Soo-in joins the labor union and starts fighting back along with other employees."
Sorry Not Sorry (TV series),-,"Choi Ryung, Jo Yoo-jin, Min Ji-young",Min Ji-young,"Jeon So-min, Gong Min-jeung, Jang Hee-ryung, Choi Daniel, Kim Mu-jun",Romantic comedy,KBS Joy,12,"December 5, 2024 –
February 27, 2025","2024, 2025",-,Ji Song-yi finds her life taking a drastic turn following a broken engagement. She works many part-time jobs while attempting to adjust to life in a new place while struggling to pay off the mortgage on her newlywed house.
Soul (South Korean TV series),"Hon, Possessed","In Eun-ah, Go Eun-nim, Park Young-sook","Kim Sang-ho, Kang Dae-sun","Lee Seo-jin, Lim Ju-eun","Horror, Crime, Romance",Munhwa Broadcasting Corporation,10,"August 5 –
September 3, 2009",2009,-,"Cheerful high school girl Ha-na (Lim Ju-eun) is always the first to come out and protect her introverted twin sister Doo-na (Park Ji-yeon), who has a slight limp. After Doo-na passes away in a fire, Ha-na finds that her body no longer completely belongs to herself. Doo-na's angry spirit now lives in Ha-na, giving her special powers and monstrous strength. Genius criminal psychologist Shin Ryu (Lee Seo-jin) is an expert profiler who is determined to see justice served. When he learns about Ha-na's abilities, he uses her powers to eliminate criminals that are above the law, and to plan his revenge on the man (Kim Kap-soo) who helped his family's killer go free."
Soul Mechanic,Fix You,Lee Hyang-hee,Yoo Hyun-ki,"Shin Ha-kyun, Jung So-min, Tae In-ho, Park Ye-jin",Medical,KBS2,32,"May 6 –
June 25, 2020",2020,-,"A team of psychiatrists who believe in healing, and not just treating sick patients. Lee Shi-joon (Shin Ha-kyun) is happy to deal with living in a crazy world by being his eccentric self and leaning on humor to reach out to patients. He ends up being assigned a problem patient, Han Woo-joo (Jung So-min), a musical rising star with terrible anger management issues."
Soundtrack 1,Soundtrack No. 1,Ahn Sae-bom,Kim Hee-won,"Park Hyung-sik, Han So-hee","Romance, Music",Disney+,4,"March 23 –
April 13, 2022",2022,-,"A man and a woman who have been best friends for 20 years, get to know each other while staying in the same house for two weeks."
Soundtrack 2,Soundtrack No. 2,Jung Hye-seung,"Choi Jung-kyu, Kim Hee-won","Noh Sang-hyun, Keum Sae-rok, Son Jeong-hyuk","Romance, Music",Disney+,6,"December 6 –
December 20, 2023",2023,-,-
Special Affairs Team TEN,"TEN, Special Crimes Force TEN","Nam Sang-wook (season 1-2), Lee Jae-gon (season 1)",Lee Seung-young,"Joo Sang-wook, Jo An, Kim Sang-ho, Choi Woo-shik","Police procedural, Crime, Mystery, Thriller",OCN,"Season 1 – 9
Season 2 – 12","18 November 2011 –
30 June 2013","2011, 2013",-,"Special Affairs Team TEN (Korean: 특수사건전담반 TEN; RR: Teuksusageonjeondamban TEN; also known simply as TEN) is a South Korean crime procedural television series starring Joo Sang-wook, Jo An, Kim Sang-ho and Choi Woo-shik. It was broadcast by cable channel OCN."
