Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Freeze (TV series),-,"Ha Seon-jae, Lee Jin-woo",Jung Jae-hoon,"Lee Seo-jin, Park Han-byul, Son Tae-young","Drama, Horror, Romance",CJ CGV,5,"October 27 –
October 31, 2006",2006,-,"Baek Joong-won once saved the vampire Ehwa from being burned at the stake by his fellow villagers. While attempting to escape together, Joong-won fell off a cliff, and Ehwa gave him her blood to save him from dying. Thus, Joong-won was also transformed into a vampire."
"Friend, Our Legend","Friend, Our Story","Kwak Kyung-taek, Han Seung-woon, Kim Won-seok","Kwak Kyung-taek, Kim Won-seok","Hyun Bin, Kim Min-jun, Seo Do-young, Lee Si-eon, Wang Ji-hye, Jeong Yu-mi","Gangster, Friendship, Drama, Romance",Munhwa Broadcasting Corporation,20,"June 27 –
August 30, 2009",2009,-,"Based on the 2001 film, Friend, Our Legend expands and retells Kwak Kyung-taek's semi-autobiographical rough-and-tumble tale about four childhood friends coming of age in the tough streets of Busan in the 1970s and 1980s. As they enter into manhood, best friends Dong-soo (Hyun Bin) and Joon-seok (Kim Min-jun) become enemies and bitter rivals in the city's underworld of gangs."
Friendly Rivalry,-,"Kim Tae-hee, Min Ye-ji",Kim Tae-hee,"Lee Hye-ri, Chung Su-bin, Kang Hye-won, Oh Woo-ri","Teen drama, Mystery, Thriller",U+ Mobile TV,16,"February 10 –
March 6, 2025",2025,-,"Woo Seul-gi, a girl who grew up in an orphanage after getting lost during a school trip as a child, transfers to Chaehwa Girls' High School, one of the top 1% in South Korea. While facing a cutthroat college entrance exam competition, she gets entangled in the mystery surrounding the suspicious death of her father, who was a member of the CSAT committee."
Friends (2002 TV series),-,-,"Nobuhiro Doi, Han Chul-soo","Won Bin, Kyoko Fukada",-,"TBS
MBC",4,"February 4 –
February 5, 2002",2002,-,"Tomoko, a Japanese tourist, and Ji-hoon, a South Korean film student and aspiring movie director, meet in Hong Kong. Despite a rocky meeting and the language barrier, they become friends. Over time, they eventually head back to their respective countries but only after exchanging email addresses, promising to keep in touch and meeting again. Tomoko decides to go to Korea to work as a tour guide and sees Ji-hoon again, but problems occur."
"From Now On, Showtime!","Showtime Begins!, It's Showtime!",Ha Yoon-ah,"Lee Hyeong-min, Jeong Sang-hee","Park Hae-jin, Jin Ki-joo, Jung Joon-ho","Romantic comedy, Fantasy",MBC TV,16,"April 23 –
June 12, 2022",2022,-,"The series is a romantic comedy between Cha Cha-woong (Park Hae-jin), a magician and employer of ghosts, and Go Seul-hae (Jin Ki-joo), a passionate but hot blooded female police officer with supernatural powers."
Full House (South Korean TV series),-,Min Hyo-jung,Pyo Min-soo,"Rain, Song Hye-kyo, Han Eun-jung, Kim Sung-soo","Romance, Comedy, Drama",KBS2,16,"July 14 –
September 2, 2004",2004,-,"Han Ji-eun (Song Hye-kyo), an aspiring writer, lives in a house called Full House built by her late father. One day, her two best friends tricked her into believing that she has won a free vacation. While Ji-eun is away, they sell her house. On the plane, she meets a famous actor named Lee Young-jae (Rain). The couple slowly becomes acquaintances during her vacation, and when Ji-eun returns, she discovers that her house has been sold to him."
Full House Take 2,-,Park Young-sook,"Kim Jin-young, Nam Ki-hoon","Hwang Jung-eum, No Min-woo, Park Ki-woong",-,"TBS Channel 2
SBS Plus","20 (Japan)
32 (South Korea)","22 October –
13 December 2012",2012,-,"A hapkido teacher named Jang Man-ok (Hwang Jung-eum; Man-ok means ""full house"" in Hanja) poses as a stylist for top idol group Take One and moves into the band's luxurious house, which superstar musician Lee Tae-ik (No Min-woo) inherited from his father. A love triangle emerges as Lee vies against fellow band member Won Kang-hwi (Park Ki-woong) for Jang's affection."
Gangnam Beauty,ID: Gangnam Beauty,Choi Soo-young,Choi Sung-bum,"Im Soo-hyang, Cha Eun-woo, Jo Woo-ri, Kwak Dong-yeon","Coming of age, Romance comedy, Drama",JTBC,16,"July 27 –
September 15, 2018",2018,-,"Kang Mi-rae decides to get plastic surgery after years of being bullied because of her looks. Her ""rebirth"" seems successful at first, but as her life at the university unfolds, her plan starts to backfire. The pressure of being a ""pretty girl"" begins to get to her and, worse, those who can see through her surgery ridicule her and tag her as the ""Gangnam plastic surgery monster"". Mi-rae tries to recover her self-esteem as she gets to know her former middle school classmate Do Kyung-seok who is quite cold to others but very affectionate towards his sister Do Kyung-hee."
Gangnam B-Side,Bulk,"Joo Won-gyu, Park Noo-ri",Park Noo-ri,"Jo Woo-jin, Ji Chang-wook, Ha Yoon-kyung, Kim Hyeong-seo",Crime thriller,Disney+,8 (list of episodes),"November 6 –
November 27, 2024",2024,-,"Kang Dong-woo, who led a police force corruption probe, is thereafter rejected by his peers and estranged from his family. After relocating to a peaceful rural outpost, he finds himself drawn once more into the shady Gangnam district of Seoul when his daughter's friend named Kim Jae-hee goes missing. Along with broker Yoon Gil-ho and prosecutor Min Seo-jin, Dong-woo will reenter the world of vice, narcotics, and corruption in an attempt to unearth a plot that might bring down some of the wealthiest elite in the city."
Gangnam Scandal,-,Park Hye-ryun,Yoon Ryu-hae,"Lim Yoon-ho, Shin Go-eun, Seo Do-young, Bang Eun-hee, Hwang Bo-mi","Romantic comedy, Melodrama, Family",SBS TV,123,"November 26, 2018 –
May 17, 2019","2018, 2019",-,"Eun So Yoo works as a stylist. She struggles to make enough money to pay for her mother's operation fee. Due to a case, So Yoo gets involved with Choi Seo Joon. He is rich and from a chaebol family. So Yoo pretends to love him for his money, but she falls truly in love with him. Seo Joon has an incurable disease. He is more interested in playing around than working and he doesn't believe in true love."
Gap-dong,-,Kwon Eum-mi,Jo Soo-won,"Yoon Sang-hyun, Kim Min-jung, Sung Dong-il, Kim Ji-won, Lee Joon","Crime, Thriller, Drama, Mystery, Action",tvN,20,"April 11 –
June 21, 2014",2014,-,"In 1986, the (fictional) city of Iltan in Gyeonggi Province: A young girl gets brutally murdered by an unknown person on a dark night. As the city is gripped by a succession of serial killings, a total of nine murders within a twelve-kilometer radius since 1993, the police conclude that a man they've nicknamed ""Gap-dong"" is behind the crimes. Detective Yang Cheol-gon is convinced that the actual killer is Ha Il-sik, a resident of the town who is intellectually challenged. His attempt to arrest the suspect fails as Ha commits suicide to prove his innocence. His death inspires his son Moo-yeom to become a police officer to clear his father's name and restore his honor."
Gaus Electronics,-,"Kang Go-eun, Seo Han-na",Park Joon-soo,"Kwak Dong-yeon, Ko Sung-hee, Bae Hyun-sung, Kang Min-ah","Workplace, Comedy",ENA,12,"September 30 –
November 5, 2022",2022,-,"The series is about the office workers of Marketing Team 3 at the home appliance headquarters of Gaus Electronics—a multinational company. It highlights the highs and lows of corporate life, and love and friendship between the employees."
"Genie, Make a Wish",-,Kim Eun-sook,Ahn Gil-ho,"Kim Woo-bin, Bae Suzy, Ahn Eun-jin, Noh Sang-hyun, Ko Kyu-pil, Lee Joo-young","Fantasy, Romantic comedy",Netflix,13,"October 3, 2025",2025,-,"A genie named Iblis is freed from his lamp after 983 years. He was imprisoned as a result of the actions of a woman named Ka-young, in a past life. Ka-young has been a psychopath from birth. Ka-young's life is a monotonous routine, controlled by her grandmother's strict rules. She struggles to survive and grapples with complicated emotional problems. When she meets Iblis, both of their lives are changed forever. Iblis has been looking for Ka-young's soul to reincarnate. He is eager to wreak vengeance on Ka-young, for unintentionally imprisoning him. Iblis grants Ka-young three wishes, and their journey is filled with both conflict and comedy."
Get Karl! Oh Soo-jung,Oh Su-jung vs. Karl,"Park Hye-ryun, Park Ji-eun","Park Hyung-ki, Jin Hyuk, Kwon Hyuk-chan","Uhm Jung-hwa, Oh Ji-ho, Kang Sung-jin, Park Da-an","Romantic, Comedy",Seoul Broadcasting System,16,"July 28 –
September 16, 2007",2007,-,"Throughout her school days, Oh Soo-jung (Uhm Jung-hwa) was the girl every boy wanted to date, and every girl wanted to be. But having watched her poor family disintegrate after her mother abandoned her incompetent father, Soo-jung naturally becomes cynical and demanding when it comes to picking her choice of man. She dates Go Man-soo (Oh Ji-ho), an Ivy League law student, despite the lack of physical attraction (he is overweight and nerdy). But the moment she finds out that he has failed his bar exam, poor Man-soo gets dumped. Eight years later, the tables are turned. Soo-jung, now in her thirties, is no longer in demand. The former ""it girl"" has since fallen from grace. She manages a jewelry store owned by a less attractive schoolmate who married a lawyer, and now barks at Soo-jung every chance she gets."
Get Revenge,"Channel O Hara Revenge, Hera, the Goddess of Revenge",Kim Hyo-jin,Kang Min-gu,"Kim Sa-rang, Yoon Hyun-min","Mystery, Melodrama, Revenge","TV Chosun
Wavve",16,"November 21, 2020 –
January 17, 2021","2020, 2021",-,"It is a mysterious social revenge drama that follows Kang Hae-ra (played by Kim Sa-rang), and her revenge against those who rule society. She is a trendy influencer reporter until a phony scandal ruins her. She vows revenge on those who hurt her."
Get Up (film),-,Ko Eun-nim,Lee Jae-dong,"Lee Min-ho, Rhyme, Lee Ah-jin",-,MBC,1 (television film),24 February 2008,2008,-,"High school students Min Wook-gi (Lee Min-ho) and Doo-heon (Rhyme) both land in trouble after they get into a fight. Doo-heon gets suspended, and Wook-gi has to clean his teacher's (Gi Ju-bong) car as punishment. While he's cleaning, his girlfriend Joo-won (Choi Ah-jin) shows up to tell him she's going on a ski trip with her new boyfriend. To chase after his girlfriend, Wook-gi tries to steal his teacher's car – but he can't drive. As he's making a run for it, Doo-heon happens to pass by on his motorcycle, and the two end up hitting the open road together."
Ghost Doctor,-,Kim Sun-soo,Boo Seong-cheol,"Rain, Kim Bum, Uee, Son Na-eun","Fantasy, Medical drama",tvN,16,"January 3 –
February 22, 2022",2022,-,"The series revolves around two doctors from extreme backgrounds, who have complete opposite personalities and medical skills: Cha Young-min (Rain) is a genius doctor and a high-skilled cardiothoracic surgeon, but is arrogant and selfish. Go Seung-tak (Kim-Bum), who possesses excellent medical knowledge, is hindered by his lack of surgical knowledge and fear of performing surgery. One day, Young Min gets involved in an unexpected case, and due to this, his spirit possesses Seung-tak's body."
Giant (TV series),-,"Jang Young-chul, Jung Kyung-soon","Yoo In-shik, Lee Chang-min","Lee Beom-soo, Park Jin-hee, Joo Sang-wook, Hwang Jung-eum, Park Sang-min, Jeong Bo-seok, Lee Moon-sik",Period drama,SBS TV,60,"May 10 –
December 7, 2010",2010,-,"The plot revolves around the lives of the three Lee children: Kang-mo (Lee Beom-soo), Sung-mo (Park Sang-min), and Mi-joo (Hwang Jung-eum). One day, Kang-mo overheard that a group of dock workers wanted to entitle his father to rob the gold bars he transports. Kang-mo reported this to his father, Lee and his father reported to Jo Pil-yeon (Jeong Bo-seok), a KCIA official. However, Pil-yeon conspired with Hwang Tae-seob Lee Deok-hwa), Lee's best friend to rob the gold truck and killed Lee, which Tae-seob reluctantly agreed since he needed the money for his construction project. During the robbery, Tae-seob unable to bring himself to kill his best friend and told him to run with his family to Seoul but Pil-yeon killed Lee and Sung-Mo witnessed his father demise. To tie off loose end, Pil-yeon and his men decided to murder Sung-mo's entire family, forcing the family to be on the run. The mother of the siblings revealed that before their father died, he had bought a property in Seoul for them to stay. Sung-mo is separated during their escape to Seoul after he distracted Pil-yeon man in a train. He is then winded up in a US military base and becomes the choir boy. During a stay at the inn their mother dies in an heating accident. Kang-mo and Mi-joo was separated when they are in Seoul. Eventually, Kang-mo is forced to work as a shoeshine boy to make end meet and encountered Tae-seob by chance."
Girls' Generation 1979,-,Yoon Kyung-ah,Hong Seok-gu,"Bona, Chae Seo-jin, Seo Young-joo, Lee Jong-hyun, Yeo Hoe-hyun, Min Do-hee","Coming-of-age, Teen, Mystery",KBS2,8,"September 11 –
October 3, 2017",2017,-,"Lee Jung-hee is the second daughter of a family who owns a lingerie factory. She leads a group of teenage girls who have chaotic adventures together. She meets Bae Dong-moon through a group date, and Dong-moon immediately falls for her. However, Jung-hee has a crush on Son Jin, a cute looking senior student of a boys school, and begins to follow him around to attract his attention."
Glamorous Temptation,"Fancy Seduction, Brilliant Seduction, Their Fortress",Son Young-mok,Kim Sang-hyub,"Joo Sang-wook, Choi Kang-hee, Cha Ye-ryun, Jung Jin-young","Melodrama, Romance, Erotica Drama, Suspense, Revenge",MBC TV,50,"October 5, 2015 –
March 22, 2016","2015, 2016",-,"The series follows three characters: an ambitious woman, a woman jealous of her, and a man who will take revenge."
Glass Castle,City of Glass,Choi Hyun-kyung,Jo Nam-kook,"Yoon So-yi, Lee Jin-wook, Kim Seung-soo","Romance, Family drama",Seoul Broadcasting System,51,"September 6, 2008 –
March 1, 2009","2008, 2009",-,"Growing up in a poor family, Min-joo (Yoon So-yi) finally lands a job as a news correspondent with JBC Networks after two previous failed attempts. She works hard to gain recognition as a reporter but faces a career setback due to a stroke of bad luck. With strong support from Seok-jin (Kim Seung-soo), she is able to get her career back on track. Although she has feelings for Seok-jin, she is reluctant to date him because he is a single father with one daughter. Meanwhile, Joon-sung (Lee Jin-wook), the scion of a wealthy family, enters her life and proposes marriage to her after a brief courtship. She becomes the envy of her friends when she marries him because her life is like a modern version of the Cinderella fairy tale. Her life as the daughter-in-law of a wealthy family is wonderful at first but she becomes disillusioned with her marriage when her in-laws begin to look down on her and smother her personal life. Against the wishes of her in-laws, she returns to work as a news correspondent and soon learns that the adopted son of her brother-in-law is actually the son of her husband from a previous relationship. Shocked at this revelation, she realizes that she loved Joon-sung for his family wealth and not for who he was. After contemplating on what to do, she decides that getting a divorce is her only option. Joon-sung, however, agrees to part ways in an amicable divorce without telling her that the adopted son of his brother is actually the posthumous child of his second brother..."
Glass Mask (TV series),-,Choi Young-in,Shin Seung-woo,"Seo Woo, Lee Ji-hoon, Park Jin-woo, Kim Yoon-seo","Melodrama, Revenge, Romance",tvN,122,"September 3, 2012 –
April 4, 2013","2012, 2013",-,"The series follows Kang Yi-kyung, a woman whose father is a murderer. She must deal with tough times and also plot her revenge. To fulfill her revenge, she assumes another woman's identity and comes back as Seo Jung-ha."
Glass Slippers,Glass Shoes,Kang Eun-kyung,Choi Yoon-seok,"Kim Hyun-joo, Kim Ji-ho, Han Jae-suk, So Ji-sub","Romance, Melodrama",SBS,40,"2 March –
28 July 2002",2002,-,"6-year-old Yoon-hee and her elder sister, Tae-hee, were raised by their widowed father after their mother died giving birth to Yoon-hee. Following years of struggles, their father — who was already suffering from cancer — is killed in a car accident, leaving the girls with no choice but to find their rich paternal grandfather, who lost touch with them due to his disapproval of their mother. At the train station, they are robbed by a group of gangsters. While chasing them, Tae-hee does not notice that Yoon-hee, who is following her, gets knocked unconscious by the Oh family's truck. Tae-hee gets beaten by the gangsters and is helped by a boy named Jae-hyuk, who stays with her until they both find her grandfather. They look for Yoon-hee in despair, unaware that she has lost her memories after regaining consciousness, and has moved away with the Ohs. Based on the name carved on her mother's ring, Yoon-hee assumes that her name is Sun-woo, and uses it as her identity."
Glitch (South Korean TV series),-,Gin Han-sai,Roh Deok,"Jeon Yeo-been, Nana","Sci-fi, Mystery, Thriller",Netflix,10,"October 7, 2022",2022,-,"Hong Ji-hyo comes from a rich family. She has a steady job, obtained through family connections. One night, her boyfriend of four years suddenly disappears. As she goes in search of him, she tries to uncover the truth behind a mysterious secret with the help of a community of UFO watchers, including Heo Bo-ra."
Gloria (South Korean TV series),-,Jung Ji-woo,"Kim Min-shik, Kim Kyung-hee","Bae Doona, Lee Chun-hee, Seo Ji-seok, So Yi-hyun","Family, Romance",MBC,50,"July 31, 2010 –
January 30, 2011","2010, 2011",-,"After their parents were killed in a car accident, Na Jin-jin (Bae Doona) has lived with her mentally handicapped older sister Na Jin-joo (Oh Hyun-kyung), whom she has supported from a young age. Jin-jin barely ekes out a living juggling a series of dead-end part-time jobs, including delivering newspapers and running a nightclub coat check. One day, the nightclub's regular singer doesn't show up and when Jin-jin is asked to fill in, she performs an impromptu version of Laura Branigan's ""Gloria."" Jin-jin becomes consumed with the idea of becoming a nightclub singer and sees it as her only hope to escape her humdrum life, saying that she only feels alive when she's onstage."
Glorious Day (TV series),"Very Good Day, Feel-Good Day",Moon Hee-jung,Hong Sung-chang,"Park Se-young, Lee Sang-woo, Kim Mi-sook, Hwang Woo-seul-hye","Romance, Family, Drama",SBS TV,44,"26 April –
5 October 2014",2014,-,"Han Song-jung is a novelist and single mother. She raised three daughters on her own and is determined to marry them off to decent men. But in the end, Song-jung finds herself getting married as well."
Glory Jane,"Man of Honor, Young-kwang's Jae-in, The Glory of Jae-in, Young Love Jane",Kang Eun-kyung,Lee Jung-sub,"Chun Jung-myung, Park Min-young, Lee Jang-woo","Romance, Melodrama, Action, Sports",Korean Broadcasting System,24,"October 12 –
December 29, 2011",2011,-,"Yoon Jae-in (Park Min-young) is a hardworking nurse who does not remember her past. In fact she is the daughter of Yoon Il-goo (Ahn Nae-sang) who was the president of a trading company. Yoon Il-goo was killed in a car accident orchestrated by his friend Seo Jae-myung (Son Chang-min), to make sure that Jae-myung takes over control of the company. When Jae-in's mother Eun-joo (Jang Young-nam) received news of her husband's accident she took Jae-in and drove to the hospital. However, due to heavy rain, they got into a car accident caused by Jae-myung's goons, which separated the mother and daughter. Jae-myung ordered Kim In-bae (Lee Ki-yeol) who works as his chauffeur to send Jae-in, who had lost all of her memories at the time, to an orphanage, where In-bae told her to never forget her name. 17 years later, In-bae's son, Young-kwang (Chun Jung-myung), is a baseball player and one of the league's most promising sluggers, but he's since been demoted to the minors. He had a fallout with his rival, Jae-myung's son, Seo In-woo (Lee Jang-woo), who not only comes from a rich family but is currently the league's top star. While injured, Young-kwang meets Jae-in, and she saves him with a blood transfusion. Under Jae-myung's orders, In-bae is chased and killed in an accident orchestrated by his goons, to prevent In-bae from revealing Jae-myung's dark secrets. Young-kwang decides to quit being a baseball player and owning his father's noodle shop. Jae-in also quits her job as a nurse to find a job with Young-kwang. In-woo finds himself disowned by his father, and the three of them apply for jobs at Jae-myung's office. Young-kwang and In-woo continue to vie for Jae-in's affections in a bitter rivalry that goes far back to their childhoods. Seo In-chul (Park Sung-woong) also enters their lives; his lover is Kim Kyung-joo (Kim Yun-joo), who happens to be Young-kwang's runaway sister. Then Eun-joo awakens from her coma."
Go Back (TV series),"Go Back Couple, Couple on the Backtrack, Confession Couple",Kwon Hye-joo,Ha Byung-hoon,"Son Ho-jun, Jang Na-ra","Romance, Comedy, Drama",KBS2,12,"October 13 –
November 18, 2017",2017,-,"Choi Ban-do (Son Ho-jun) and Ma Jin-joo (Jang Na-ra) are both 38 years old and married with a little son. Both are struggling through daily lives that leave them exhausted and unhappy. Ban-do is a pharmaceutical salesman who spends his days begging people to buy his medicines, and his evenings either drinking with prospective clients, or helping an arrogant and cruel hospital director, Park Hyun-suk (Im Ji-kyu), hide the fact that he is cheating on his wealthy wife. Jin-joo is a housewife who raises their son while struggling to find meaning in her life, and feels lonely and abandoned by Ban-do. After coming to a breaking point in their relationship, Ban-do and Jin-joo wake up to find themselves as 20-year-old university students. They don't know why they are there or how long they will stay, so they decide to enjoy it and make different choices than they did the first time around. These decisions impact their families and friends."
God of War (South Korean TV series),"Mooshin, Warrior K",Lee Hwan-kyung,"Kim Jin-min, Kim Heung-dong","Kim Joo-hyuk, Kim Gyu-ri, Jeong Bo-seok, Park Sang-min, Joo Hyun, Lee Joo-hyun, Hong Ah-reum","Historical period drama, Action",Munhwa Broadcasting Corporation,56,"February 11 –
September 15, 2012",2012,-,"Kim Jun is the son of an escaped palace slave, who gets raised by monks. Years later, after being torn from his home during wartime, Kim Jun must renounce his pacifist ways to partake in a deadly game that could be his ticket to freedom from his masters, Choe Chung-heon's clan. During the Mongol invasions of Korea, Kim Jun rises in the ranks to become the top military official, and eventually rules the Goryeo empire for 60 years in place of its king."
Goddess of Fire,"Goddess of Fire, Jung Yi, Jung Yi, the Goddess of Fire, Goddess of Fire, Jeongi","Kwon Soon-kyu, Lee Seo-yoon","Park Sung-soo, Jung Dae-yoon","Moon Geun-young, Lee Sang-yoon, Kim Bum","Historical, Romance",MBC TV,32,"July 1 –
October 22, 2013",2013,-,"Gifted with natural talent and skill, Yoo Jung has a passionate artistic soul and dreams of becoming the top potter and porcelain artist of the Joseon period. Joseon was famous for its white porcelain, purported to be the highest quality in 16th century Asia, and Jung learns her craft in the porcelain workshop Bunwon (분원; 分院), government-subsidized kilns at Bunwon-ri, Gwangju, where ceramics is a mixture of art and science."
Goddess of Marriage,-,Jo Jung-sun,Oh Jin-suk,"Nam Sang-mi, Lee Sang-woo, Kim Ji-hoon","Romance, Comedy, Drama",Seoul Broadcasting System,36,"29 June –
3 November 2013",2013,-,"The drama explores modern love, careerwomanhood, and the meaning of marriage as experienced by four couples."
God's Beads,-,Jung Hyun-min,Jung Dae-yoon,"Ahn Bo-hyun, Claudia Kim, Ha Yoon-kyung, Son Woo-hyeon, Lee Sung-min, Bae Jeong-nam","Historical, Action",JTBC,-,-,-,-,"God's Beads (Korean: 신의 구슬) is an upcoming South Korean historical action television series starring Ahn Bo-hyun, Claudia Kim, Ha Yoon-kyung, Son Woo-hyeon, Lee Sung-min, and Bae Jeong-nam. It is scheduled to premiere on JTBC."
God's Gift: 14 Days,-,Choi Ran,Lee Dong-hoon,"Lee Bo-young, Cho Seung-woo, Kim Tae-woo, Jung Gyu-woon, Kim Yoo-bin","Time travel, Thriller",SBS TV,16,"March 3 –
April 22, 2014",2014,-,"Kim Soo-hyun is a mother whose young daughter Han Saet-byul gets kidnapped and murdered. Discovering a miraculous ability to go back in time exactly two weeks before the event, Soo-hyun is determined to expose the kidnapping plot and save her daughter before she dies all over again. Helping her is Ki Dong-chan, a former cop turned private investigator out to prove the innocence of his mentally challenged brother, who is falsely accused of murdering Dong-chan's ex-girlfriend. As Soo-hyun and Dong-chan race against the clock in the allotted 14 days, new light is shed on the crimes, and they uncover secrets far more treacherous than Soo-hyun could have ever imagined."
"Gogh, The Starry Night",-,Sin Yoo-dam,"Jo Soo-won, Kim Young-hwan","Kwon Yu-ri, Kim Young-kwang, Lee Ji-hoon","Romantic Comedy, Drama",SBS,"20 (Sohu TV)
4 (SBS)","October 22 –
October 30, 2016",2016,-,"The web-drama depicts a story of a 29-year-old employee 'Go Ho' (Kwon Yuri) of an advertising company who works hard but hardly praised by her hot-tempered boss (Kim Young Kwang). As a result, she dislikes her boss very much, not understanding his unspoken love for her. In the meantime, her ex-boyfriend (Lee Ji-hoon) joins the same company, and she gets transferred to his work unit. The plot revolves around the two male leads trying to win the heart of Go Ho."
Gold Mask,-,Kim Min-joo,Eo Soo-sun,-,"Melodrama, Revenge, Family",KBS2,100,"May 23 –
October 7, 2022",2022,-,The drama tells the story of finding the answer to life in a mad fight between three women due to a tragedy caused by false desires and greed.
Golden Apple (TV series),-,Kwon Ki-young,"Shin Chang-seok, Park Kyung-ri, Lee Geon-joon","Park Sol-mi, Kim Ji-hoon, Ji Hyun-woo, Go Eun-ah, Jung Chan","Romance, Drama",Korean Broadcasting System,30,"16 November 2005 –
23 February 2006","2005, 2006",-,"Kim Chun-dong (Choi Il-hwa) is a widowed farmer with one daughter, Kyung-sook (Lee Young-ah), and two sons, Kyung-gu (Kim Myung-jae) and Kyung-min (Park Ji-bin). Kyung-sook is committed to maintaining the household after the passing of their mother, and the villagers praise her sweet, cheerful nature and hardworking attitude. Everyday chores leave her little time for fun, but she does shed her tough exterior for Park Jong-gyu, the farm owner's son. A student at Seoul National University, Jong-gyu visits on occasion to the delight of Kyung-sook."
Golden Bride,Bride From Vietnam,Park Hyun-joo,"Woon Goon-il, Baek Soo-chan","Song Jong-ho, Lee Young-ah, Song Chang-eui, Choi Yeo-jin, Kim Hee-chul",-,SBS TV,64,"23 June 2007 –
8 May 2008","2007, 2008",-,Several story-lines take place within the drama at the same time that ultimately all link up to one another.
Golden Cross (TV series),-,Yoo Hyun-mi,"Hong Suk-goo, Kim Jong-yeon","Kim Kang-woo, Lee Si-young, Um Ki-joon, Han Eun-jung","Drama, Revenge, Romance, Thriller",KBS2,20,"April 9 –
June 19, 2014",2014,-,"A shadowy society known as ""Golden Cross"" dominates the Korean economy and marketplace with its deep connections and financial power. Prosecutor Kang Do-yoon gets entangled in their dealings when one of their plots gets his beloved sister murdered, a crime for which his father then gets framed. Do-yoon vows revenge on Seo Dong-ha, the powerful man behind the organization, but complications arise when he learns that Seo is the father of the woman he loves, his colleague Seo Yi-re. Yi-re is a righteous and truth-seeking prosecutor; she grew up respecting and obeying her father, and her life is thrown into disarray when she discovers his dark side. Meanwhile, Seo nurtures a protegee, businessman Michael Jang, whose greed and ambition soon makes him challenge his mentor for the top spot. A clash of wills, fortunes, and egos commences."
Golden Fish (TV series),Goldfish,Jo Eun-jung,"Oh Hyun-chang, Joo Sung-woo","Park Sang-won, Lee Tae-gon, Jo Yoon-hee, So Yoo-jin","Melodrama, Romance",Munhwa Broadcasting Corporation,133,"May 3 –
November 11, 2010",2010,-,"Lee Tae-young has long been hardened from growing up in an unloving family. The only person whom he can open his heart to is his stepsister Han Ji-min, but their love is tested by his stepmother's manipulations and the cruelty of fate."
Golden House (TV series),Good Harvest Villa,"Jang Hang-jun, Kim Eun-hee",Jo Hyun-tak,"Shin Ha-kyun, Lee Bo-young, Baek Yoon-sik","Comedy, Thriller",tvN,20,"March 5 –
May 27, 2010",2010,-,"When the owner of a shabby, soon-to-be-demolished villa in a run-down part of Seoul mysteriously dies, it sets in motion a chain of events that touches many lives. His son Oh Bok-gyu (Shin Ha-kyun), a struggling actor who was previously completely unaware of his inheritance, arrives to take possession of Apartment Number 201, only to find that rumors are swirling everywhere that his father has left a huge fortune of ₩50 billion in gold bars hidden somewhere in the villa — and that his father was murdered. As Bok-gyu navigates his way through the web of mystery surrounding his father's death, he encounters intrusive neighbors, oddball residents, a hardcore gangster and a beautiful girl — any of whom may have their eyes set on his money. When he meets orphaned, lovely Yoon Seo-rin (Lee Bo-young), he thinks that she's the girl of his dreams, but is unsure whether to trust her."
Golden Pouch,-,Lee Hye-sun,Kim Dae-jin,"Jin Yi-han, Ryu Hyo-young","Family, Romantic drama",MBC TV,122,"November 14, 2016 –
June 1, 2017","2016, 2017",-,"Han Seok-hoon (Kim Ji-han), who was given up for adoption at six, tries to find his birth parents in South Korea. An accident on his wedding day leaves him with amnesia, and he mistakenly believes that the parents of Geum Seol-hwa (Ryu Hyo-young), a young TV producer, are his real parents. He stays with the family while recovering and experiences a feeling of family for the first time."
Golden Rainbow (TV series),Gold Rainbow,"Son Young-mok, Cha Yi-young","Kang Dae-sun, Lee Jae-jin","Uee, Jung Il-woo, Cha Ye-ryun, Lee Jae-yoon","Romance, Family, Melodrama",MBC TV,41,"November 2, 2013 –
March 30, 2014","2013, 2014",-,"Adopted and raised by the same father, seven orphans grew up together as a family in a town near the ocean. With the bond between them even stronger than that of blood-related siblings, they experience hardships together, and struggle to succeed in the marine products industry."
Golden Time (TV series),-,Choi Hee-ra,"Kwon Seok-jang, Lee Yoon-jung","Lee Sun-kyun, Hwang Jung-eum, Lee Sung-min, Song Seon-mi","Medical drama, Romance",Munhwa Broadcasting Corporation,23,"July 9 –
September 25, 2012",2012,-,"After spending two years teaching in the country, Lee Min-woo (Lee Sun-kyun) returns to a city hospital to complete his residency and face his own uncertainties about being a doctor. Free-spirited and goofy, he is jaded about his job and just wants it easy. He is then jolted out of apathy when a traumatic incident forces him to rethink why he wanted to be a doctor in the first place. First-year resident Kang Jae-in (Hwang Jung-eum) comes from a rich family that owns hospitals, but she just simply wants to be a doctor who can support herself and help others. Both Min-woo and Jae-in work in ER under the guidance of Choi In-hyuk (Lee Sung-min), a famously astute workaholic surgeon who puts his patients before himself."
Good Boy (TV series),-,Lee Dae-il,Shim Na-yeon,"Park Bo-gum, Kim So-hyun, Oh Jung-se, Lee Sang-yi, Heo Sung-tae, Tae Won-seok","Action comedy, Crime, Romance",JTBC,16,"May 31 –
July 20, 2025",2025,-,"Faced with financial struggles, short career spans, injuries, and other challenges, former elite athletes become special police officers and form a rag-tag team to fight violent crime – using their unique skills acquired during their time as athletes"
