title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
The Smile Has Left Your Eyes (TV series),Falling Stars,"This 2018 Korean drama revolves around Kim Moo-young - a complex, mysterious man with a forgotten past. He meets and falls in love with Yoo Jin-kang, and although her initial impression of him is pretty negative, later she discovers that Moo-young is innocent and struggling to recognize about his past life. However, her older brother, Yoo Jin-gook, a homicide detective, suspects that Moo-young is more sinister than he lets on, oblivious to the fact that he is the key to both Moo-young and Jin-kang's intertwined history. The situation becomes more complicated when Moo-young regains his memories which leads him to find the truth about his father's death and more.",tvN,,"Mystery, Thriller",,,"October 3 –
November 22, 2018",,"Seo In-guk, Jung So-min, Park Sung-woong",Song Hye-jin,Yoo Je-won,16,2018,-
The Snow Queen (South Korean TV series),-,"The drama starts with Han Tae-woong (Hyun Bin), a quiet, 17-year-old math genius, entering a prestigious high school. There he meets Kim Jung-kyu (Lee Seon-ho), also a genius in mathematics. The two immediately develop rivalry and tension, but later become best friends. Through their conversations, we learn that Jung-kyu is a big boxing enthusiast. Meanwhile, Tae-woong stumbles upon a little girl being bullied in the street and saves her. The girl develops a crush on him and gives him her pager so that she can see him again, but they never exchange names or contacts. They promise to meet again soon, but this never happens.",Korean Broadcasting System,,"Melodrama, Romance",,,"November 13, 2006 –
January 8, 2007",,"Hyun Bin, Sung Yu-ri, Im Joo-hwan, Yoo In-young","Kim Eun-hee, Yoon Eun-kyung",Lee Hyung-min,16,"2006, 2007",-
The Sound of Magic,-,"Yoon Ah-yi, an impoverished student at Sewoon High School, has stopped believing in magic since childhood, and, after significant misfortunes, wishes to grow up faster to escape the stress of her life. She then meets Ri Eul, a magician who wants to remain a child even though he's an adult. After being a frequent visitor of Ri Eul's residence at an abandoned amusement park, Ah-yi's classmate Na Il-deung, a cold and well-off student, starts to spy on her magic lessons and as a result starts to show a liking for Ah-yi and magic. Ah-yi's life changes as she becomes a follower of Ri Eul, once again believing in magic and pursuing her dreams.",Netflix,,"Musical, Fantasy, Coming of Age",,,"May 6, 2022",,"Ji Chang-wook, Choi Sung-eun, Hwang In-youp",Kim Min-jeong,Kim Seong-yoon,6,2022,-
The Sound of Your Heart (TV series),"Sound of Your Heart, The Sound of Your Mind, Sound of Heart",Stories about Cho Seok's (Lee Kwang-soo) adventures with his family and his girlfriend Aebong (Jung So-min).,"KBS2
Naver TV Cast
Sohu TV",,Sitcom,,,"7 November –
9 December 2016",,"Lee Kwang-soo, Jung So-min",Lee Byung-hoon,Ha Byung-hoon,20,2016,-
The Spies Who Loved Me,The Spy Who Loves Me,"Kang Ah-Reum is a wedding dress designer who has been married twice. Her ex happens to be an undercover Interpol agent, while her current husband is an industrial spy. After a close friend is murdered for her involvement in the well-known EcoSun project, Ah-Reum seeks the help of Ji-Hoon and his team in finding out the truth, along the way uncovering dark and shocking secrets about those closest to her.",MBC TV,,"Action, Romance, Comedy",,,"October 21 –
December 17, 2020",,"Eric Mun, Yoo In-na, Lim Ju-hwan",Lee Ji-min,Lee Jae-jin,16,2020,-
The Stars Are Shining,Stardust,"The Stars Are Shining (Korean: TV소설 별이 되어 빛나리; RR: TVsoseol byeori doeeo binnari) is a 2015 South Korea morning soap opera starring Go Won-hee, Lee Ha-yool, Seo Yoon-na, and Cha Do-jin. It aired on KBS2 from August 31, 2015, to February 26, 2016, on Mondays to Fridays at 09:00 (KST) to 09:45 (KST).",KBS2,,"Period drama, Romance, Family",,,"August 31, 2015 –
February 26, 2016",,"Go Won-hee, Lee Ha-yool, Seo Yoon-na, Cha Do-jin","Yoo Eun-ha, Jo So-young",Kyun Kwe-hong,128,"2015, 2016",-
The Story of Kang-goo,-,The story of Kang Goo is about a particular time in an adolescent boy's life and it's also about his hometown of the same name,Seoul Broadcasting System,,"Romance, Drama",,,"March 29 –
March 30, 2014",,"Lee Dong-wook, Park Joo-mi, Shin Dong-woo",Baek Mi-kyung,Hong Sung-chang,2,2014,-
The Story of Park's Marriage Contract,-,"The Story of Park's Marriage Contract tells the story of Park Yeon-woo, a Joseon Confucian girl who struggles to return to Joseon after time-travelling 200 years in time to the year 2023 after being thrown into a well (murdered at the behest of her mother-in-law) by an unknown person after the death of her husband, Kang Tae-ha. This ""murder"" is driven by the advantages accrued by virtuous women's families.",MBC TV,,"Romantic comedy, Period drama, Fantasy",,,"November 24, 2023 –
January 6, 2024",,"Lee Se-young, Bae In-hyuk, Joo Hyun-young, Yoo Seon-ho, Jo Bok-rae",Go Nam-jeong,"Park Sang-hoon, Kang Chae-won",12,"2023, 2024",-
The Suspicious Housekeeper,"The Mysterious Housekeeper, The Mystery Housemaid, The Strange Housekeeper","Park Bok-nyeo is a mysterious housekeeper who will do whatever is asked of her, even, so the rumor goes, if that means murder. Her latest stint involves caring for a recently widowed father, and his four troubled children, all of whom are grappling with the aftermath of their mother's sudden death. The stoic new arrival, who shows barely any trace of emotion, acts as a catalyst for the family members to understand each other better and reconcile their relationships.",SBS TV,,"Family drama, Black comedy",,,"23 September –
26 November 2013",,"Choi Ji-woo, Lee Sung-jae, Wang Ji-hye",Baek Woon-chul,Kim Hyung-shik,20,2013,-
The Tale of Lady Ok,-,"Set in the Joseon period, the story is about the journey to success of a female slave named Goo Deok, whose name ""Ok Tae-young"", status, and even her husband were fake.",JTBC,,"Historical drama, Romantic thriller",,,"November 30, 2024 –
January 26, 2025",,"Lim Ji-yeon, Choo Young-woo, Yeonwoo, Kim Jae-won",Park Ji-sook,Jin Hyuk,16,"2024, 2025",-
The Tale of Nokdu,Joseon Rom-com: Mung Bean Chronicles,"Set in the Joseon period, the series is about a man who disguises as a woman to enter a mysterious women-only village in search of the truth about his birth; and a young woman who does not want to become a kisaeng in pursuit of revenge for her family.",KBS2,,"Period drama, Romantic comedy",,,"September 30 –
November 25, 2019",,"Jang Dong-yoon, Kim So-hyun, Kang Tae-oh, Jung Joon-ho","Baek So-yeon, Lim Ye-jin",Kim Dong-hwi,32,2019,-
